Doc ID,Reception ID,CPV CODE,Notice Status,Country ISO,TOWN ISO,Project Name,Title,Notice publication number,Publication date,OJ S issue number,Town/city of the buyer,Official name of the buyer,Original language,Country of the buyer,Type of buyer,EU institution/agency,Document sent,Type of contract,Type of procedure,Notice type,Regulation,Type of bid,Award criteria,Common procurement vocabulary (CPV),Place of performance (NUTS),Internet address (URL),Legal basis,Deadline Date,latitude,longitude,Document_id_1,Publication_Date_1,Deadline_1,Document_1,Authority_Name_1,Document_id_2,Publication_Date_2,Deadline_2,Document_2,Authority_Name_2,Document_id_3,Publication_Date_3,Deadline_3,Document_3,Authority_Name_3,Document_id_4,Publication_Date_4,Deadline_4,Document_4,Authority_Name_4,Document_id_5,Publication_Date_5,Deadline_5,Document_5,Authority_Name_5,Document_id_6,Publication_Date_6,Deadline_6,Document_6,Authority_Name_6,Document_id_7,Publication_Date_7,Deadline_7,Document_7,Authority_Name_7,Document_id_8,Publication_Date_8,Deadline_8,Document_8,Authority_Name_8,Document_id_9,Publication_Date_9,Deadline_9,Document_9,Authority_Name_9,Document_id_10,Publication_Date_10,Deadline_10,Document_10,Authority_Name_10,Document_id_11,Publication_Date_11,Deadline_11,Document_11,Authority_Name_11,Document_id_12,Publication_Date_12,Deadline_12,Document_12,Authority_Name_12,Document_id_13,Publication_Date_13,Deadline_13,Document_13,Authority_Name_13,Document_id_14,Publication_Date_14,Deadline_14,Document_14,Authority_Name_14,Document_id_15,Publication_Date_15,Deadline_15,Document_15,Authority_Name_15,Document_id_16,Publication_Date_16,Deadline_16,Document_16,Authority_Name_16
525983-2021,21-542541-001,90911200,Active,Slovakia,Bratislava,Building-cleaning services,Slovakia-Bratislava: Building-cleaning services,525983-2021,15/10/2021,201,BRATISLAVA,"Dopravný podnik Bratislava, akciová spoločnosť (00492736)",SK,SK,4 - Utilities entity,-,12/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,"09000000 - Petroleum products, fuel, electricity and other sources of energy90911200 - Building-cleaning services",SK,http://www.dpb.sk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",11/11/2021,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525982-2021,21-542834-001,98390000,Active,Slovakia,Bratislava,Other services,Slovakia-Bratislava: Other services,525982-2021,15/10/2021,201,BRATISLAVA,"Dopravný podnik Bratislava, akciová spoločnosť (00492736)",SK,SK,4 - Utilities entity,-,12/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,34980000 - Transport tickets98390000 - Other services,SK,http://www.dpb.sk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",11/11/2021,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525981-2021,21-541667-001,66515200,Active,Slovakia,Bratislava,Property insurance services,Slovakia-Bratislava: Property insurance services,525981-2021,15/10/2021,201,BRATISLAVA,"VODOHOSPODÁRSKA VÝSTAVBA, ŠTÁTNY PODNIK (00156752)",SK,SK,4 - Utilities entity,-,12/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,66519200 - Engineering insurance services66516000 - Liability insurance services66515200 - Property insurance services66516400 - General liability insurance services,SK010,http://www.vvb.sk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",16/11/2021,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525886-2021,21-538448-001,34100000,Active,Slovakia,Bratislava,Motor vehicles,Slovakia-Bratislava: Motor vehicles,525886-2021,15/10/2021,201,BRATISLAVA,"Bratislavská vodárenská spoločnosť, a.s. (35850370)",SK,SK,4 - Utilities entity,-,11/10/2021,2 - Supplies,1 - Open procedure,2 - Additional information,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,34100000 - Motor vehicles34144000 - Special-purpose motor vehicles34144700 - Utility vehicles,SK010,https://www.bvsas.sk/,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",05/11/2021,48.1516988,17.1093063,511875-2021,08/10/2021,05/11/2021,3 - Contract notice,"Bratislavská vodárenská spoločnosť, a.s. (35850370)",525886-2021,15/10/2021,05/11/2021,2 - Additional information,"Bratislavská vodárenská spoločnosť, a.s. (35850370)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525859-2021,21-542695-001,34121100,Active,Slovakia,Trnava,Public-service buses,Slovakia-Trnava: Public-service buses,525859-2021,15/10/2021,201,TRNAVA,"ARRIVA Trnava, a.s. (36249840)",SK,SK,4 - Utilities entity,-,12/10/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,"34121100 - Public-service buses34121400 - Low-floor buses50100000 - Repair, maintenance and associated services of vehicles and related equipment",SK021,https://www.arriva.sk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",,48.3767652,17.5858175,259267-2021,21/05/2021,18/06/2021,3 - Contract notice,"Arriva Trnava, a.s. (36249840)",525859-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525554-2021,21-543404-001,79941000,Active,Slovakia,Bratislava,Toll-collection services,Slovakia-Bratislava: Toll-collection services,525554-2021,15/10/2021,201,BRATISLAVA,"Národná diaľničná spoločnosť, a.s. (35919001)",SK,SK,6 - Body governed by public law,-,12/10/2021,4 - Services,1 - Open procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,79342320 - Customer-care services50324100 - System maintenance services72222300 - Information technology services79941000 - Toll-collection services,SKSK0,www.ndsas.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,26908-2015,24/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525522-2021,21-539482-001,71314000,Active,Slovakia,Bratislava,Energy and related services,Slovakia-Bratislava: Energy and related services,525522-2021,15/10/2021,201,BRATISLAVA,"Slovenské elektrárne, a.s. (35829052)",SK,SK,4 - Utilities entity,-,11/10/2021,4 - Services,4 - Negotiated procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,71315000 - Building services71314000 - Energy and related services,SK023,http://www.seas.sk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",,48.1516988,17.1093063,75137-2015,03/03/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525488-2021,21-541542-001,90620000,Active,Slovakia,Trnava,Snow-clearing services,Slovakia-Trnava: Snow-clearing services,525488-2021,15/10/2021,201,TRNAVA,Mesto Trnava (00313114),SK,SK,3 - Regional or local authority,-,12/10/2021,4 - Services,T - Negotiated procedure without a call for competition,V - Voluntary ex ante transparency notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,90620000 - Snow-clearing services90630000 - Ice-clearing services,SK021,https://www.trnava.sk/sk,Public procurement Directive 2014/24/EU,,48.3767652,17.5858175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525473-2021,21-538297-001,79341400,Active,Slovakia,Bratislava,Advertising campaign services,Slovakia-Bratislava: Advertising campaign services,525473-2021,15/10/2021,201,BRATISLAVA,"Všeobecná zdravotná poisťovňa, a.s. (35937874)",SK,SK,6 - Body governed by public law,-,10/10/2021,4 - Services,T - Negotiated procedure without a call for competition,V - Voluntary ex ante transparency notice,4 - European Union,9 - Not applicable,1 - Lowest price,79341400 - Advertising campaign services,SK010,www.vszp.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525239-2021,21-543980-001,90500000,Active,Slovakia,Zvolen,Refuse and waste related services,Slovakia-Zvolen: Refuse and waste related services,525239-2021,15/10/2021,201,ZVOLEN,Mesto Zvolen (00320439),SK,SK,3 - Regional or local authority,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,1 - Lowest price,90512000 - Refuse transport services90511000 - Refuse collection services90500000 - Refuse and waste related services90511100 - Urban solid-refuse collection services90511200 - Household-refuse collection services,SK032,https://www.zvolen.sk/,Public procurement Directive 2014/24/EU,,48.5782517,19.1247135,370439-2021,21/07/2021,26/08/2021,3 - Contract notice,Mesto Zvolen (00320439),414227-2021,13/08/2021,26/08/2021,2 - Additional information,Mesto Zvolen (00320439),525239-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
