Doc ID,Reception ID,CPV CODE,Notice Status,Country ISO,TOWN ISO,Project Name,Title,Notice publication number,Publication date,OJ S issue number,Town/city of the buyer,Official name of the buyer,Original language,Country of the buyer,Type of buyer,EU institution/agency,Document sent,Type of contract,Type of procedure,Notice type,Regulation,Type of bid,Award criteria,Common procurement vocabulary (CPV),Place of performance (NUTS),Internet address (URL),Legal basis,Deadline Date,latitude,longitude,"(0, 'Document_id_1')",Publication_Date_1,Deadline_1,Document_1,Authority_Name_1,"(0, 'Document_id_2')",Publication_Date_2,Deadline_2,Document_2,Authority_Name_2,"(0, 'Document_id_3')",Publication_Date_3,Deadline_3,Description,Postal Code,Email,Amount,Currency,Og Notice No,Document_3,Authority_Name_3,"(0, 'Document_id_4')",Publication_Date_4,Deadline_4,Document_4,Authority_Name_4,"(0, 'Document_id_5')",Publication_Date_5,Deadline_5
526406-2021,21-543905-001,71311000,Active,United Kingdom,Bristol,Civil engineering consultancy services,United Kingdom-Bristol: Civil engineering consultancy services,526406-2021,15/10/2021,201,BRISTOL,MOD,EN,UK,1 - Ministry or any other national or federal authority,-,12/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,71311000 - Civil engineering consultancy services,UKF3,https://www.gov.uk/government/organisations/ministry-of-defence,Defence Directive 2009/81/EC,,51.4538022,-2.5972985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526405-2021,21-543645-001,71311000,Active,United Kingdom,Stanford-le-hope,Civil engineering consultancy services,United Kingdom-Stanford-le-hope: Civil engineering consultancy services,526405-2021,15/10/2021,201,STANFORD-LE-HOPE,London Gateway Port Limited,EN,UK,4 - Utilities entity,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,71311000 - Civil engineering consultancy services,UK,www.londongateway.com,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",,51.5138172,0.4252037,536370-2019,12/11/2019,27/11/2019,3 - Contract notice,London Gateway Port Ltd,526405-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,
526404-2021,21-539313-001,79900000,Active,United Kingdom,Stockport,Miscellaneous business and business-related services,United Kingdom-Stockport: Miscellaneous business and business-related services,526404-2021,15/10/2021,201,STOCKPORT,Electricity North West Ltd,EN,UK,4 - Utilities entity,-,11/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,79900000 - Miscellaneous business and business-related services,UKD,www.enwl.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",,53.407901,-2.160243,62604-2017,17/02/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
526403-2021,21-542468-001,45259100,Active,United Kingdom,Reading,Wastewater-plant repair and maintenance work,United Kingdom-Reading: Wastewater-plant repair and maintenance work,526403-2021,15/10/2021,201,READING,Thames Water Utilities Limited,EN,UK,4 - Utilities entity,-,12/10/2021,1 - Works,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"45222100 - Waste-treatment plant construction work45252130 - Sewage plant equipment45252000 - Construction works for sewage treatment plants, purification plants and refuse incineration plants45252100 - Sewage-treatment plant construction work45259100 - Wastewater-plant repair and maintenance work",UKIUKJ,www.thameswater.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",,51.456659,-0.9696512,511889-2020,27/10/2020,10/11/2020,3 - Contract notice,Thames Water Utilities Ltd,526403-2021,15/10/2021,,,,,,,,,,,,,,,,,,,,,,
526402-2021,21-541855-001,45252100,Active,United Kingdom,Reading,Sewage-treatment plant construction work,United Kingdom-Reading: Sewage-treatment plant construction work,526402-2021,15/10/2021,201,READING,Thames Water Utilities Limited,EN,UK,4 - Utilities entity,-,12/10/2021,1 - Works,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"45252000 - Construction works for sewage treatment plants, purification plants and refuse incineration plants45252100 - Sewage-treatment plant construction work39350000 - Sewerage works equipment71320000 - Engineering design services",UKJ25,www.thameswater.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",,51.456659,-0.9696512,137622-2020,20/03/2020,27/04/2020,3 - Contract notice,Thames Water Utilities Ltd,160687-2020,03/04/2020,27/04/2020,2 - Additional information,Thames Water Utilities Ltd,526402-2021,15/10/2021,,,,,,,,,,,,,,,,,
526401-2021,21-540152-001,85000000,Active,United Kingdom,Huddersfield,Health and social work services,United Kingdom-Huddersfield: Health and social work services,526401-2021,15/10/2021,201,HUDDERSFIELD,The Council of the Borough of Kirklees (4203130),EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,B - Competitive procedure with negotiation,K - Modification of a contract/concession during its term,4 - European Union,9 - Not applicable,9 - Not applicable,80500000 - Training services80400000 - Adult and other education services80300000 - Higher education services85000000 - Health and social work services,UKE44,http://www.kirklees.gov.uk,Public procurement Directive 2014/24/EU,,53.6466645,-1.7822482,555290-2018,18/12/2018,02/01/2019,A - Prior information notice with call for competition,The Council of the Borough of Kirklees,557838-2019,25/11/2019,,,,,,,,,,,,,,,,,,,,,,
526400-2021,21-540215-001,85300000,Active,United Kingdom,Sandbach,Social work and related services,United Kingdom-Sandbach: Social work and related services,526400-2021,15/10/2021,201,SANDBACH,Cheshire East Borough Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,1 - Open procedure,K - Modification of a contract/concession during its term,Z - Not specified,9 - Not applicable,9 - Not applicable,85300000 - Social work and related services85000000 - Health and social work services,UKD62,http://www.cheshireeast.gov.uk/,Public procurement Directive 2014/24/EU,,53.1391053,-2.3742509786190222,384669-2020,14/08/2020,18/09/2020,3 - Contract notice,Cheshire East Borough Council,619167-2020,21/12/2020,,,,,,,,,,,,,,,,,,,,,,
526399-2021,21-543753-001,60000000,Active,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526399-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,,52.0579495,1.1526345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526398-2021,21-543674-001,60000000,Active,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526398-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,,52.0579495,1.1526345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526397-2021,21-543656-001,60000000,Active,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526397-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,,52.0579495,1.1526345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
